2024-T4 aluminum alloy fatigue data;;
No.;Stress (Mpa);Fatigue life (cycles)
1;313,8;481100
2;313,8;628100
3;313,8;1355700
4;313,8;1428000
5;313,8;2407100
6;313,8;2489300
7;313,8;3963400
8;313,8;3969900
9;313,8;4301900
10;313,8;5896300
11;313,8;6092200
12;313,8;6684500
13;313,8;8618400
14;313,8;8961900
15;313,8;9695300
16;313,8;9716800
17;313,8;10296100
18;313,8;12000000
19;313,8;12000000
20;313,8;12000000
21;313,8;12000000
22;333,8;477000
23;333,8;517600
24;333,8;562600
25;333,8;587800
26;333,8;658900
27;333,8;710700
28;333,8;763200
29;333,8;785000
30;333,8;875200
31;333,8;984900
32;333,8;1039500
33;333,8;1166800
34;333,8;1283600
35;333,8;1359800
36;333,8;1614900
37;333,8;1699600
38;333,8;1704300
39;333,8;1851200
40;333,8;2087100
41;333,8;2177800
42;333,8;2305800
43;333,8;2469600
44;333,8;2628900
45;333,8;2746800
46;333,8;3386300
47;333,8;3399800
48;333,8;3555900
49;333,8;4336400
50;333,8;4915400
51;333,8;5291200
52;353,8;282100
53;353,8;284200
54;353,8;291400
55;353,8;311700
56;353,8;315900
57;353,8;317600
58;353,8;331300
59;353,8;335300
60;353,8;391600
61;353,8;405900
62;353,8;411500
63;353,8;418800
64;353,8;445000
65;353,8;447700
66;353,8;455100
67;353,8;457800
68;353,8;457900
69;353,8;472200
70;353,8;501100
71;353,8;533600
72;353,8;587200
73;353,8;594800
74;353,8;647900
75;353,8;670900
76;353,8;708900
77;353,8;739600
78;353,8;880600
79;353,8;927800
80;353,8;933500
81;353,8;1564700
82;371,7;213100
83;371,7;218900
84;371,7;222500
85;371,7;234000
86;371,7;241500
87;371,7;246800
88;371,7;248600
89;371,7;251200
90;371,7;251300
91;371,7;252700
92;371,7;255600
93;371,7;261600
94;371,7;261600
95;371,7;262400
96;371,7;262900
97;371,7;265300
98;371,7;265700
99;371,7;268700
100;371,7;274000
101;371,7;280500
102;371,7;282100
103;371,7;284800
104;371,7;287900
105;371,7;289300
106;371,7;306200
107;371,7;310100
108;371,7;323600
109;371,7;326200
110;371,7;340200
111;371,7;343200
112;411,7;131800
113;411,7;133900
114;411,7;136700
115;411,7;137100
116;411,7;139300
117;411,7;140100
118;411,7;140400
119;411,7;145700
120;411,7;145900
121;411,7;146000
122;411,7;146900
123;411,7;148600
124;411,7;148600
125;411,7;148800
126;411,7;149400
127;411,7;152500
128;411,7;153600
129;411,7;154200
130;411,7;155000
131;411,7;155800
132;411,7;156200
133;411,7;156700
134;411,7;157100
135;411,7;159200
136;411,7;160900
137;411,7;161000
138;411,7;163900
139;411,7;164300
140;411,7;168400
141;411,7;183200
142;451,7;78400
143;451,7;79200
144;451,7;79800
145;451,7;82300
146;451,7;85800
147;451,7;86000
148;451,7;86600
149;451,7;88100
150;451,7;88500
151;451,7;88700
152;451,7;89300
153;451,7;90300
154;451,7;90800
155;451,7;92200
156;451,7;92500
157;451,7;93200
158;451,7;93400
159;451,7;93700
160;451,7;94100
161;451,7;95300
162;451,7;95500
163;451,7;95600
164;451,7;96300
165;451,7;96600
166;451,7;96700
167;451,7;99200
168;451,7;99500
169;451,7;107500
170;451,7;107700
171;451,7;110600
172;490,3;51100
173;490,3;53200
174;490,3;53500
175;490,3;54200
176;490,3;55000
177;490,3;57000
178;490,3;57000
179;490,3;57200
180;490,3;57700
181;490,3;58400
182;490,3;58500
183;490,3;59200
184;490,3;59300
185;490,3;59800
186;490,3;59800
187;490,3;60900
188;490,3;61400
189;490,3;61400
190;490,3;61600
191;490,3;62500
192;490,3;62900
193;490,3;63000
194;490,3;63100
195;490,3;63300
196;490,3;63400
197;490,3;63600
198;490,3;63900
199;490,3;66700
200;490,3;67700
201;490,3;70000
202;530,3;31700
203;530,3;32400
204;530,3;33200
205;530,3;33700
206;530,3;35500
207;530,3;35700
208;530,3;35900
209;530,3;36000
210;530,3;36500
211;530,3;36800
212;530,3;37000
213;530,3;37000
214;530,3;37200
215;530,3;37500
216;530,3;37500
217;530,3;37600
218;530,3;37600
219;530,3;37900
220;530,3;38200
221;530,3;38600
222;530,3;39400
223;530,3;39600
224;530,3;40300
225;530,3;40500
226;530,3;40700
227;530,3;40800
228;530,3;40900
229;530,3;41000
230;530,3;41300
231;530,3;42700
232;550,3;27200
233;550,3;27600
234;550,3;28900
235;550,3;29300
236;550,3;29900
237;550,3;30100
238;550,3;30600
239;550,3;30700
240;550,3;30800
241;550,3;30900
242;550,3;30900
243;550,3;31000
244;550,3;31200
245;550,3;31200
246;550,3;31700
247;550,3;31800
248;550,3;31900
249;550,3;32100
250;550,3;32400
251;550,3;32400
252;550,3;34900