The annealed aluminum wire (AAW) fatigue data.;;
No.;Stress (Mpa);Fatigue life (cycles)
1;294,3;5300
2;294,3;6200
3;294,3;6500
4;294,3;6600
5;294,3;7000
6;294,3;7500
7;294,3;8000
8;294,3;8400
9;294,3;8700
10;294,3;8800
11;294,3;9000
12;294,3;9200
13;294,3;9200
14;294,3;9400
15;294,3;9500
16;294,3;9500
17;294,3;9800
18;294,3;10000
19;294,3;10500
20;294,3;11800
21;220,7;5100
22;220,7;6100
23;220,7;7000
24;220,7;7700
25;220,7;8600
26;220,7;9000
27;220,7;9100
28;220,7;9300
29;220,7;9600
30;220,7;9700
31;220,7;9700
32;220,7;10100
33;220,7;10300
34;220,7;11200
35;220,7;11500
36;220,7;11600
37;220,7;12300
38;220,7;12500
39;220,7;13400
40;220,7;15900
41;176,6;6200
42;176,6;9400
43;176,6;10000
44;176,6;10000
45;176,6;10200
46;176,6;10800
47;176,6;11300
48;176,6;12600
49;176,6;12800
50;176,6;13900
51;176,6;14000
52;176,6;14200
53;176,6;14300
54;176,6;14700
55;176,6;15100
56;176,6;15200
57;176,6;16600
58;176,6;16900
59;176,6;17000
60;176,6;18200
61;134,9;9100
62;134,9;9300
63;134,9;9400
64;134,9;9700
65;134,9;14500
66;134,9;15900
67;134,9;16000
68;134,9;16200
69;134,9;17900
70;134,9;18500
71;134,9;19800
72;134,9;20800
73;134,9;21000
74;134,9;21800
75;134,9;22100
76;134,9;22400
77;134,9;22400
78;134,9;25700
79;134,9;25800
80;134,9;27800
81;105,4;12800
82;105,4;15600
83;105,4;17400
84;105,4;19000
85;105,4;19000
86;105,4;19700
87;105,4;20000
88;105,4;21000
89;105,4;21300
90;105,4;24400
91;105,4;25100
92;105,4;25400
93;105,4;26700
94;105,4;26800
95;105,4;26900
96;105,4;28300
97;105,4;28500
98;105,4;29500
99;105,4;30900
100;105,4;38200
101;83,4;18200
102;83,4;25000
103;83,4;25700
104;83,4;28600
105;83,4;29000
106;83,4;33700
107;83,4;35000
108;83,4;36400
109;83,4;39900
110;83,4;40000
111;83,4;40700
112;83,4;44000
113;83,4;45100
114;83,4;46000
115;83,4;46100
116;83,4;46800
117;83,4;48700
118;83,4;50000
119;83,4;54300
120;83,4;55600
121;73,6;12000
122;73,6;40000
123;73,6;45000
124;73,6;48000
125;73,6;62000
126;73,6;65000
127;73,6;65000
128;73,6;67000
129;73,6;70000
130;73,6;80000
131;73,6;81000
132;73,6;83000
133;73,6;88000
134;73,6;91000
135;73,6;92000
136;73,6;94000
137;73,6;95000
138;73,6;104000
139;73,6;108000
140;73,6;112000
141;56,4;114000
142;56,4;130000
143;56,4;157000
144;56,4;157000
145;56,4;159000
146;56,4;170000
147;56,4;180000
148;56,4;201000
149;56,4;205000
150;56,4;210000
151;56,4;230000
152;56,4;244000
153;56,4;250000
154;56,4;251000
155;56,4;257000
156;56,4;266000
157;56,4;273000
158;56,4;287000
159;56,4;296000
160;56,4;309000
161;54;285000
162;54;308000
163;54;336000
164;54;377000
165;54;380000
166;54;396000
167;54;427000
168;54;497000
169;54;510000
170;54;551000
171;54;560000
172;54;595000
173;54;617000
174;54;660000
175;54;668000
176;54;685000
177;54;714000
178;54;733000
179;54;849000
180;54;895000
181;51,5;820000
182;51,5;839000
183;51,5;938000
184;51,5;1024000
185;51,5;1040000
186;51,5;1048000
187;51,5;1100000
188;51,5;1103000
189;51,5;1136000
190;51,5;1145000
191;51,5;1147000
192;51,5;1150000
193;51,5;1151000
194;51,5;1163000
195;51,5;1200000
196;51,5;1210000
197;51,5;1319000
198;51,5;1320000
199;51,5;1321000
200;51,5;1630000